School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Los Angeles Unified,Los Angeles Senior High,"4650 West Olympic Boulevard
Los Angeles 90019
(34.05654351600003, -118.33255681199995)",n/a, 08-12,1959,21.9,72.3%,17.7,647,Ryman Arts,,,,,,Visual Art
El Segundo Unified,Center Street Elementary,"700 Center Street
El Segundo 90245
(33.92515060300008, -118.40484260099998)",n/a, K-05,677,26,12.9%,23.4,922,Autry Museum; El Segundo Concert Band; The Music Center,Dance,,Media Arts,Music/Opera,,Visual Art
Rowland Unified,Shelyn Elementary,"19500 East Nacora Street
Rowland Heights 91748
(33.98280366500006, -117.87694164899995)",2011, K-06,507,22,41.6%,21.1,847,Arts & Services for Disabled,,,,,,Visual Art
Claremont Unified,Oakmont Elementary,"120 West Green Street
Claremont 91711
(34.09221355200003, -117.71422856299995)",2010, K-06,286,23.3,49%,21.8,858,Claremont Museum of Art,,,,,,Visual Art
Los Angeles Unified,Annalee Avenue Elementary,"19410 South Annalee Avenue
Carson 90746
(33.85485386900007, -118.25291685499997)",n/a, K-06,379,21,72.3%,19.9,763,The Music Center,Dance,,,Music/Opera,,
Westside Union Elementary,Gregg Anderson Academy,"5151 West Avenue N-8
Palmdale 93551
(34.62361534100006, -118.22160467799995)",n/a,no data,,,,,,The Music Center,,,,,Theatre,
Torrance Unified,Fern Elementary,"1314 Fern Avenue
Torrance 90503
(33.83520903600004, -118.33224729199998)",n/a, K-05,498,31.1,32.1%,25.5,864,The Music Center,Dance,,,,,
Los Angeles Unified,George Washington Preparatory High,"10860 South Denker Avenue
Los Angeles 90047
(33.93744021100008, -118.30465661299996)",n/a, 09-12,1706,20.1,79.5%,15.7,580,"Street Poets, Inc.",,Literature,,,,
Compton Unified,Dickison Elementary,"905 North Aranbe Street
Compton 90220
(33.90207157200007, -118.23229843899998)",2004, K-05,835,20.9,82.6%,20.9,812,Autry Museum,,,,,,Visual Art
Los Angeles Unified,San Fernando Senior High,"11133 O'Melveny Avenue
San Fernando 91340
(34.27347900400002, -118.44321965299997)",n/a, 09-12,2746,30.3,88.9%,25.6,676,Juliana Martinez,,,,,,Visual Art
Los Angeles Unified,Braddock Drive Elementary,"4711 Inglewood Boulevard
Culver City 90230
(33.99270710400003, -118.41461540899996)",n/a, K-05,406,22.6,79.6%,21.4,839,Screen Actors Guild Foundation,,,,,Theatre,
Los Angeles Unified,Welby Way Elementary Charter,"23456 Welby Way
West Hills 91307
(34.192273096000065, -118.63712563699994)",n/a, K-05,781,26,15%,25,964,Skirball Cultural Center; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Emelita Academy Charter,"17931 Hatteras Street
Encino 91316
(34.17648337800006, -118.52313731099997)",n/a,no data,,,,,,Skirball Cultural Center,,,,Music/Opera,,Visual Art
Palos Verdes Peninsula Unified,Silver Spur Elementary,"5500 Ironwood Street
Rancho Palos Verdes 90275
(33.78806251700007, -118.37569451299998)",2005, K-05,527,26.4,0.8%,24,969,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,Wright Middle School STEAM Magnet,"6550 West 80th Street
Los Angeles 90045
(33.96923397100005, -118.40476339999998)",n/a, 06-08,805,27.6,57%,21.5,775,Tom Walker,,,Media Arts,,,Visual Art
Los Angeles Unified,Buchanan Street Elementary,"5024 Buchanan Street
Los Angeles 90042
(34.11955374300004, -118.206704592)",n/a, K-06,531,24.1,86.3%,24.1,781,Autry Museum; Center for the Arts Eagle Rock; Los Angeles Choreographers & Dancers; Museum of Contemporary Art; Skirball Cultural Center,Dance,,,,Theatre,Visual Art
Los Angeles Unified,Wonderland Avenue Elementary,"8510 Wonderland Avenue
Los Angeles 90046
(34.114434155000026, -118.38024053799995)",n/a, K-05,555,26.4,8.6%,24.7,979,Autry Museum; Will Geer Theatricum Botanicum; Young Storytellers Foundation,,Literature,,,Theatre,Visual Art
Los Angeles Unified,Thirty-Second Street USC Performing Arts,"822 West 32nd Street
Los Angeles 90007
(34.02491453300007, -118.282170985)",n/a, K-12,1081,28.1,79.7%,21.4,806,"LA County Museum of Art; MaryChristine Pena; Skirball Cultural Center; Spirit Series, Inc.; The Music Center; Young Storytellers Foundation",Dance,Literature,,,Theatre,Visual Art
Pomona Unified,Lexington Elementary,"550 West Lexington Avenue
Pomona 91766
(34.03676376800007, -117.75441110299994)",2007, K-08,689,22.7,94.5%,18.6,731,American Museum of Ceramic Art,,,,,,Visual Art
Los Angeles Unified,Lockwood Avenue Elementary,"4345 Lockwood Avenue
Los Angeles 90029
(34.088747488000024, -118.28787017099995)",n/a, K-06,513,21.3,93.4%,19,780,Autry Museum; Guild Opera Co.; Museum of Latin American Art,,,,Music/Opera,,Visual Art
Los Angeles Unified,Germain Academy For Academic Achievement,"20730 Germain Street
Chatsworth 91311
(34.262632576000044, -118.58432923699996)",n/a, K-05,630,25.1,43.2%,24,895,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Paramount Unified,Captain Raymond Collins,"6125 Coke Street
Long Beach 90805
(33.86626647600008, -118.14717943599999)",2006, K-05,624,26,86.2%,24,714,AMAN Dance Educators; Robin Kiss,Dance,,,,,Visual Art
Los Angeles Unified,Arlington Heights Elementary,"1717 Seventh Avenue
Los Angeles 90019
(34.04135068000005, -118.32488261499998)",n/a, K-05,637,22.7,82.9%,20.5,762,The Music Center,Dance,,,,,
Los Angeles Unified,Twentieth Street Elementary,"1353 East 20th Street
Los Angeles 90011
(34.02290495300008, -118.25094529999996)",n/a, K-05,648,23.9,92.6%,21.2,779,Autry Museum; Geffen Playhouse; Jaime Ochoa; Story Pirates,,Literature,,,Theatre,Visual Art
Manhattan Beach Unified,Mira Costa High School,"1401 Artesia Boulevard
Manhattan Beach 90266
(33.87291335300006, -118.38974214699999)",2008, 08-12,2428,27.6,5.6%,25.1,916,The Music Center,,,,Music/Opera,Theatre,
Los Angeles Unified,Farmdale Elementary,"2660 Ruth Swiggett Drive
Los Angeles 90032
(34.077060705000065, -118.17968602199994)",n/a, K-05,518,17.9,81.1%,16.4,724,LA Opera,,,,Music/Opera,,
Los Angeles Unified,Ramona Opportunity High,"231 South Alma Avenue
Los Angeles 90063
(34.03895047700007, -118.19142303099994)",n/a, 07-12,115,14.1,71.3%,13.9,548,CalArts Community Arts Partnership (CAP),,,Media Arts,,,
Los Angeles Unified,New Heights Charter,"2202 West Martin Luther King Jr Boulevard
Los Angeles 90008
(34.01078294800004, -118.31766933099999)",n/a, K-08,322,20.6,95%,20.1,804,Autry Museum; Story Theater; Will Geer Theatricum Botanicum,,,,,Theatre,Visual Art
Compton Unified,Dominguez High,"15301 South San Jose Avenue
Compton 90221
(33.894162152000035, -118.18172315999999)",2004, 09-12,2385,29.5,75.9%,26.5,605,LA Opera,,,,Music/Opera,,
Los Angeles Unified,School for the Visual Arts and Humanities,"701 S. Catalina Street
Los Angeles 90005
(34.05967078000003, -118.29544025299998)",n/a, 09-12,435,20.3,79.5%,18.9,690,Stacey Wexter,,,,,,Visual Art
Las Virgenes Unified,Willow Elementary,"29026 Laro Drive
Agoura 91301
(34.15921012200005, -118.75736435399995)",2009, K-05,513,21.4,3.1%,20.4,948,Story Pirates,,Literature,,,Theatre,
Los Angeles Unified,Downtown Value,"950 West Washington Boulevard
Los Angeles 90015
(34.03758502300008, -118.27922920999998)",n/a, K-08,443,26.6,94.8%,24.6,815,Broad Stage; Dancing Classrooms Los Angeles; The Music Center,Dance,,Media Arts,,,
Los Angeles Unified,Yorkdale Elementary,"5657 Meridian Street
Los Angeles 90042
(34.120678370000064, -118.19374948799998)",n/a, K-06,414,19.6,82.1%,19.7,813,Los Angeles Chamber Orchestra; Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,
Inglewood Unified,Parent (Frank D.) Elementary,"5354 West 64th Street
Inglewood 90302
(33.98270586900003, -118.37457771799995)",2006, K-08,726,28.2,56.1%,27.9,750,Young Storytellers Foundation,,Literature,Media Arts,,Theatre,
Los Angeles Unified,Gault Street Elementary,"17000 Gault Street
Van Nuys 91406
(34.19935271500003, -118.50344942399994)",n/a, K-05,713,22.3,94%,21.6,792,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
South Pasadena Unified,South Pasadena Senior High,"1401 Fremont Avenue
South Pasadena 91030
(34.10986290400007, -118.15320121399998)",2007, 09-12,1562,28.6,16.9%,27.7,896,Pasadena Symphony Association,,,,Music/Opera,,
Los Angeles Unified,Academic Leadership Community,"322 Lucas Avenue
Los Angeles 90017
(34.05807560300008, -118.26172058799995)",n/a, 09-12,413,23.4,87.7%,18.8,651,826LA; Autry Museum; Broad Stage; Ryman Arts,,Literature,,,Theatre,Visual Art
Los Angeles Unified,El Oro Way Charter For Enriched Studies,"12230 El Oro Way
Granada Hills 91344
(34.29366928600007, -118.50484714199996)",n/a, K-05,492,24.6,29.3%,21.7,900,Skirball Cultural Center,,,,,Theatre,Visual Art
Las Virgenes Unified,Arthur E. Wright Middle,"4029 North Las Virgenes Road
Calabasas 91302
(34.13365767200003, -118.70306150699997)",2009, 06-08,800,28.9,11.8%,24.6,918,Will Geer Theatricum Botanicum,,,,,Theatre,
Los Angeles Unified,Lockhurst Drive Charter Elementary,"6170 Lockhurst Drive
Woodland Hills 91367
(34.18374851500005, -118.64779807099995)",n/a, K-05,303,20.5,21.8%,17.8,874,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Canfield Avenue Elementary,"9233 Airdrome Street
Los Angeles 90035
(34.049857977000045, -118.39087379499995)",n/a, K-05,420,23.3,24%,21,898,Young Storytellers Foundation,,Literature,,,Theatre,
Rowland Unified,Stanley G. Oswalt Academy,"19501 Shadow Oak Drive
Walnut 91789
(34.02661299600004, -117.87869835599997)",2011, K-08,968,24.4,23.1%,23.5,924,Autry Museum,,,,,,Visual Art
Glendale Unified,John C. Fremont Elementary,"3320 Las Palmas Avenue
Glendale 91208
(34.19955072400006, -118.23251574999995)",2008, K-06,713,27.4,17.4%,25.5,914,Maire Clerkin; The Music Center,Dance,,,,Theatre,
Downey Unified,Downey High,"11040 Brookshire Avenue
Downey 90241
(33.93923200900008, -118.12879536199995)",n/a, 09-12,4255,22.5,68.2%,27.2,794,Roberto Salas; The Music Center,Dance,,,Music/Opera,Theatre,
Santa Monica-Malibu Unified,John Adams Middle,"2425 16th Street
Santa Monica 90405
(34.01300730200006, -118.47017135399994)",2003, 06-08,1054,28.2,49.9%,22.9,823,Broad Stage,Dance,,,,,
Glendale Unified,Verdugo Woodlands Elementary,"1751 North Verdugo Road
Glendale 91208
(34.173612296000044, -118.22635213399997)",2008, K-06,710,26.3,21.1%,26.3,936,Autry Museum; Studio Zanni; The Music Center,Dance,,,,Theatre,Visual Art
Los Angeles Unified,Haskell Elementary,"15850 Tulsa Street
Granada Hills 91344
(34.268193488000065, -118.47722003299998)",n/a, K-05,566,23.5,68.9%,21.8,834,Autry Museum; Skirball Cultural Center; The Music Center,Dance,,,,,Visual Art
Long Beach Unified,Burbank Elementary,"501 Junipero Avenue
Long Beach 90814
(33.773049926000056, -118.16404020599998)",n/a, K-05,789,30.3,91.3%,25,794,Dramatic Results; Long Beach Symphony Orchestra,,Literature,,Music/Opera,,Visual Art
Los Angeles Unified,WESM Health/Sports Medicine,"7400 West Manchester Avenue
Los Angeles 90045
(33.95967348900007, -118.42790928499994)",n/a, 09-12,1409,25.3,45.1%,22.2,702,826LA,,Literature,,,,
Azusa Unified,Victor F. Hodge Elementary,"700 West 11th Street
Azusa 91702
(34.14084404100004, -117.91507602799999)",n/a, K-05,662,23.7,70.2%,21.2,854,Inland Pacific Ballet,Dance,,,,,
Los Angeles Unified,Soto Street Elementary,"1020 South Soto Street
Los Angeles 90023
(34.03181439600007, -118.21725257999998)",n/a, K-06,276,19.7,92%,17.3,778,Autry Museum; The Music Center,,,,Music/Opera,,Visual Art
Los Angeles Unified,Roy Romer Middle,"6501 Laurel Canyon Boulevard
North Hollywood 91606
(34.18856286600004, -118.39655093899995)",n/a, 06-08,1262,30.3,89.3%,23.4,745,The Music Center,,,,Music/Opera,,
Los Angeles Unified,Math and Science College Preparatory,"4650 W. Olympic Boulevard
Los Angeles 90019
(34.05654351600003, -118.33255681199995)",n/a, 09-12,357,17.9,75.6%,17.3,614,Geffen Playhouse,,Literature,,,Theatre,
Los Angeles Unified,Gardner Street Elementary,"7450 Hawthorn Avenue
Los Angeles 90046
(34.09979326200005, -118.35230922699998)",n/a, K-06,438,25.8,56.6%,25.8,871,Dancing Classrooms Los Angeles; LA Opera; Los Angeles Chamber Orchestra,Dance,,,Music/Opera,,
Los Angeles Unified,Fries Avenue Elementary,"1301 Fries Avenue
Wilmington 90744
(33.78893758700008, -118.26562191399995)",n/a, K-05,717,22.4,85.2%,20.5,775,International City Theatre,,,,,Theatre,
Pomona Unified,Vejar Elementary,"950 West Grand Avenue
Pomona 91766
(34.04755962000007, -117.75963119799997)",2007, K-08,935,28.5,94.5%,21.1,730,American Museum of Ceramic Art,,,,,,Visual Art
Los Angeles Unified,Coeur D'Alene Avenue Elementary ,"810 Coeur D'Alene Avenue
Venice 90291
(33.98971347500003, -118.45366393599994)",n/a, K-05,489,24.5,23.9%,23.9,926,Broad Stage; P.S. ARTS; Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Lomita Math/Science/Technology Magnet,"2211 West 247th Street
Lomita 90717
(33.80071323800007, -118.32033847999998)",n/a, K-05,954,23.9,56.3%,24.5,895,Skirball Cultural Center; The Music Center,,,,Music/Opera,,Visual Art
William S. Hart Union High,Rancho Pico Junior High,"26250 West Valencia Boulevard
Stevenson Ranch 91381
(34.40208789800005, -118.59439753099997)",n/a, 07-08,1010,30.7,8.9%,24.3,925,Santa Clarita PAC,,,,Music/Opera,,
Glendale Unified,Daily (Allan F.) High (Continuation),"220 North Kenwood
Glendale 91206
(34.14937353800008, -118.25136348599995)",2008, 11-12,267,16.6,44.2%,15.1,573,Roger Dolin,,,,,,Visual Art
Los Angeles Unified,Winnetka Avenue Elementary,"8240 Winnetka Avenue
Canoga Park 91306
(34.21893113600004, -118.57100655399995)",n/a, K-05,458,22.3,79.5%,21.3,805,Autry Museum; Enrichment Works; Shakespeare At Play; Skirball Cultural Center,,,,,Theatre,Visual Art
Los Angeles Unified,Columbus Avenue ,"6700 Columbus Avenue
Van Nuys 91405
(34.192666978000034, -118.46400900199995)",n/a, K-05,571,22.8,84.8%,19.7,776,Los Angeles Jewish Symphony ,,,,Music/Opera,,
Los Angeles Unified,Orchard Academies 2C,"6411 Orchard Avenue
Bell 90201
(33.97893618400008, -118.19946250099997)",n/a, 06-08,427,25.7,92.3%,23.7,637,LA County Museum of Art,,,,,,Visual Art
Los Angeles Unified,Wilmington Middle,"1700 Gulf Avenue
Wilmington 90744
(33.798441608000076, -118.27433662099997)",n/a, 06-08,1923,22.9,83.6%,19.1,759,Grand Vision Foundation; LA Opera,,,,Music/Opera,,
Los Angeles Unified,Alliance Huntington Park College-Ready Academy High,"2071 Saturn Avenue
HUNTINGTON PARK 90255
(33.97694849800007, -118.23365992099997)",n/a, 09-12,574,26,95.3%,18.8,782,Skirball Cultural Center,,,,,,Visual Art
Montebello Unified,Garfield Elementary,"7425 South Garfield Avenue
Bell Gardens 90201
(33.96389973600003, -118.15253268999999)",2007, K-05,827,29.5,66.4%,28,743,Autry Museum; The Music Center,Dance,,,,,Visual Art
Bonita Unified,Bonita High,"3102 D Street
La Verne 91750
(34.10921892700003, -117.76675993899994)",n/a, 09-12,1978,30.8,26%,27.9,865,Inland Pacific Ballet,Dance,,,,,
Los Angeles Unified,Hesby Oaks Leadership Charter,"15530 Hesby Street
Encino 91436
(34.16208357900007, -118.47314818099994)",n/a, K-08,523,33.3,17.8%,22.7,911,LA County Museum of Art; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Belmont Senior High,"1575 West 2nd Street
Los Angeles 90026
(34.06129783100005, -118.26370912599998)",n/a, 09-12,1214,20.9,76%,15.2,645,The Music Center,,,,Music/Opera,,
Los Angeles Unified,Fullbright Avenue Elementary,"6940 Fullbright Avenue
Canoga Park 91306
(34.19730050100003, -118.57717587099995)",n/a, K-05,477,23.7,83.9%,22.7,831,Autry Museum,,,,,,Visual Art
Long Beach Unified,Cleveland Elementary,"4760 Hackett Avenue
Lakewood 90713
(33.844112919000054, -118.10678387999997)",n/a, K-05,488,26.7,34.4%,23.8,837,Carpenter Performing Arts Center; International City Theatre; Long Beach Symphony Orchestra,,Literature,,Music/Opera,Theatre,
Los Angeles Unified,Crenshaw Arts-Technology Charter High,"4120 11th Avenue
Los Angeles 90008
(34.00922045400006, -118.32957585899999)",n/a, 09-12,269,20.4,51.7%,17.6,703,Long Beach Opera; The Music Center,,,,Music/Opera,,
Compton Unified,Foster Elementary,"1620 North Pannes Street
Compton 90221
(33.90601329500004, -118.20299735199995)",2004, K-05,763,28.1,88.3%,28.3,791,24th Street Theatre Company; Brian Nieman; Education Through Music-Los Angeles,,,,Music/Opera,Theatre,Visual Art
El Monte Union High,Arroyo High,"4921 North Cedar Avenue
El Monte 91732
(34.09367840500005, -118.020521111)",n/a, 09-12,2312,23.8,80.2%,24.3,793,Los Angeles Master Chorale,,,Media Arts,Music/Opera,,
Long Beach Unified,Kettering Elementary,"550 Silvera Avenue
Long Beach 90803
(33.772704127000054, -118.10639970999995)",n/a, K-05,353,25.2,32.6%,22.8,897,International City Theatre; Museum of Latin American Art,,,,,Theatre,Visual Art
Pomona Unified,Cortez Elementary,"1300 North Dudley
Pomona 91768
(34.070225891000064, -117.77859861499996)",2007, K-08,775,31.5,83.9%,24.2,844,The Music Center,Dance,,,,,
Long Beach Unified,Whittier Elementary,"1761 Walnut Avenue
Long Beach 90813
(33.78913953000006, -118.17205743999995)",n/a, K-05,856,29.6,86.3%,27.2,796,Dramatic Results,,,,,,Visual Art
Los Angeles Unified,White Point Elementary,"1410 Silvius Avenue
San Pedro 90731
(33.716056915000024, -118.30805008299996)",n/a, K-06,417,23.2,14.6%,21.9,873,Autry Museum,,,,,,Visual Art
Glendale Unified,Crescenta Valley High,"2900 Community Avenue
La Crescenta 91214
(34.22371560300007, -118.24222370599995)",2008, 09-12,2906,31.5,11.9%,25.8,894,Southwest Chamber Music,,,,Music/Opera,,
Los Angeles Unified,Calahan Community Charter,"18722 Knapp Street
Northridge 91324
(34.23812354100005, -118.54145974399995)",n/a,no data,,,,,,Museum of the San Fernando Valley; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Osceola Street Elementary,"14940 Osceola Street
Sylmar 91342
(34.29089574400007, -118.45583368199999)",n/a, K-05,385,22.6,84.2%,20.3,812,Autry Museum; Los Angeles Jewish Symphony ; Skirball Cultural Center,,,,Music/Opera,,Visual Art
El Rancho Unified,South Ranchito Elementary,"5241 South Passons Boulevard
Pico Rivera 90660
(33.99532953100004, -118.08000501099997)",n/a, K-05,627,26.1,79.9%,24.1,766,Autry Museum,,,,,,Visual Art
Sulphur Springs Union,Fair Oaks Ranch Community,"26933 North Silverbell Lane
Santa Clarita 91387
(34.40447814100003, -118.44776090299996)",2011, K-06,955,25.9,35.6%,25.8,855,Canyon Theatre Guild; Santa Clarita PAC,Dance,,,Music/Opera,Theatre,Visual Art
Saugus Union,West Creek Academy,"28767 North West Hills Drive
Valencia 91354
(34.458509744000025, -118.56783903999997)",2007, K-06,662,25.5,8.2%,24.1,939,CalArts Community Arts Partnership (CAP); Santa Clarita PAC,Dance,,,Music/Opera,,
Los Angeles Unified,Hubert Howe Bancroft Middle,"929 North Las Palmas Avenue
Los Angeles 90038
(34.08841102200006, -118.33629250999996)",n/a, 06-08,975,26.9,85.4%,21.9,764,Invertigo Dance Theatre; LA County Museum of Art; Skirball Cultural Center,Dance,,,,,Visual Art
Los Angeles Unified,Dayton Heights Elementary,"607 North Westmoreland Avenue
Los Angeles 90004
(34.08192021900004, -118.28805223199998)",n/a, K-05,604,21.5,81.5%,20.1,824,The Music Center,,,,,,Visual Art
Los Angeles Unified,"Washington Irving Middle School Math, Music and Engineering Magnet","3010 Estara Avenue
Los Angeles 90065
(34.117572256000074, -118.24078158399999)",n/a, 06-08,660,25.1,83.9%,18.9,696,Dr. Melanie Andrews; Inside Out Community Arts,Dance,Literature,Media Arts,Music/Opera,Theatre,Visual Art
